No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([3, 4])
self.category_embeddings.weight.shape=torch.Size([3, 4])
epoch: 0, Train MSE: 3.012311, Train CE:2.036487, Train MMD:0.000778, Train Triplet:1.085472, Val MSE:2.236666, Val CE:2.250831, Val MMD:0.001452, Val Triplet:0.511451
epoch: 1, Train MSE: 2.295204, Train CE:1.924064, Train MMD:0.000813, Train Triplet:1.048974, Val MSE:1.778502, Val CE:2.200844, Val MMD:0.001509, Val Triplet:0.507064
epoch: 2, Train MSE: 1.728985, Train CE:1.931359, Train MMD:0.000884, Train Triplet:1.096633, Val MSE:1.461409, Val CE:2.177003, Val MMD:0.001670, Val Triplet:0.529402
epoch: 3, Train MSE: 1.437226, Train CE:1.850127, Train MMD:0.001025, Train Triplet:0.972252, Val MSE:1.271752, Val CE:2.018472, Val MMD:0.001922, Val Triplet:0.587214
epoch: 4, Train MSE: 1.193178, Train CE:1.756031, Train MMD:0.001260, Train Triplet:0.758142, Val MSE:1.129869, Val CE:1.843955, Val MMD:0.002381, Val Triplet:0.527837
epoch: 5, Train MSE: 1.003618, Train CE:1.614905, Train MMD:0.001567, Train Triplet:0.835885, Val MSE:1.098544, Val CE:1.581576, Val MMD:0.003048, Val Triplet:0.447918
epoch: 6, Train MSE: 0.980957, Train CE:1.454153, Train MMD:0.002084, Train Triplet:1.024660, Val MSE:1.059942, Val CE:1.362517, Val MMD:0.003928, Val Triplet:0.478182
epoch: 7, Train MSE: 0.895390, Train CE:1.307872, Train MMD:0.002886, Train Triplet:0.973576, Val MSE:1.024025, Val CE:1.139450, Val MMD:0.005368, Val Triplet:0.475263
epoch: 8, Train MSE: 0.877927, Train CE:1.176362, Train MMD:0.003890, Train Triplet:0.778243, Val MSE:0.956587, Val CE:0.950770, Val MMD:0.007536, Val Triplet:0.516093
epoch: 9, Train MSE: 0.815610, Train CE:1.071537, Train MMD:0.005040, Train Triplet:0.824994, Val MSE:0.919201, Val CE:0.792579, Val MMD:0.009651, Val Triplet:0.513291
epoch: 10, Train MSE: 0.770730, Train CE:0.984691, Train MMD:0.006371, Train Triplet:0.988566, Val MSE:0.867945, Val CE:0.672829, Val MMD:0.012113, Val Triplet:0.505294
epoch: 11, Train MSE: 0.765024, Train CE:0.914166, Train MMD:0.007976, Train Triplet:0.756256, Val MSE:0.838700, Val CE:0.575621, Val MMD:0.014194, Val Triplet:0.496975
epoch: 12, Train MSE: 0.727956, Train CE:0.886463, Train MMD:0.009213, Train Triplet:0.513092, Val MSE:0.831773, Val CE:0.502564, Val MMD:0.016552, Val Triplet:0.508794
epoch: 13, Train MSE: 0.714761, Train CE:0.815420, Train MMD:0.010959, Train Triplet:0.511863, Val MSE:0.795559, Val CE:0.427947, Val MMD:0.017760, Val Triplet:0.491273
epoch: 14, Train MSE: 0.673510, Train CE:0.794954, Train MMD:0.012365, Train Triplet:0.675287, Val MSE:0.766416, Val CE:0.360411, Val MMD:0.021387, Val Triplet:0.515033
epoch: 15, Train MSE: 0.687823, Train CE:0.753282, Train MMD:0.013266, Train Triplet:0.787044, Val MSE:0.754997, Val CE:0.316721, Val MMD:0.023556, Val Triplet:0.504281
epoch: 16, Train MSE: 0.680786, Train CE:0.713606, Train MMD:0.014239, Train Triplet:0.550016, Val MSE:0.728789, Val CE:0.279268, Val MMD:0.024966, Val Triplet:0.520457
epoch: 17, Train MSE: 0.648715, Train CE:0.726871, Train MMD:0.015277, Train Triplet:0.503478, Val MSE:0.700687, Val CE:0.259020, Val MMD:0.026228, Val Triplet:0.483224
epoch: 18, Train MSE: 0.617891, Train CE:0.673271, Train MMD:0.016538, Train Triplet:0.561478, Val MSE:0.681741, Val CE:0.243186, Val MMD:0.028502, Val Triplet:0.484508
epoch: 19, Train MSE: 0.621227, Train CE:0.653597, Train MMD:0.017253, Train Triplet:0.477834, Val MSE:0.690459, Val CE:0.233582, Val MMD:0.030560, Val Triplet:0.483970
epoch: 20, Train MSE: 0.610202, Train CE:0.633905, Train MMD:0.017991, Train Triplet:0.479568, Val MSE:0.681093, Val CE:0.224105, Val MMD:0.031427, Val Triplet:0.482239
epoch: 21, Train MSE: 0.609338, Train CE:0.631466, Train MMD:0.017768, Train Triplet:0.474407, Val MSE:0.676380, Val CE:0.216367, Val MMD:0.032642, Val Triplet:0.511513
epoch: 22, Train MSE: 0.579469, Train CE:0.589154, Train MMD:0.018985, Train Triplet:0.481933, Val MSE:0.645419, Val CE:0.208137, Val MMD:0.034453, Val Triplet:0.487025
epoch: 23, Train MSE: 0.580125, Train CE:0.566548, Train MMD:0.019420, Train Triplet:0.505668, Val MSE:0.637911, Val CE:0.206343, Val MMD:0.034565, Val Triplet:0.492796
epoch: 24, Train MSE: 0.575657, Train CE:0.541979, Train MMD:0.019211, Train Triplet:0.512161, Val MSE:0.618551, Val CE:0.204586, Val MMD:0.034207, Val Triplet:0.477610
epoch: 25, Train MSE: 0.569785, Train CE:0.535431, Train MMD:0.019270, Train Triplet:0.493103, Val MSE:0.633826, Val CE:0.207453, Val MMD:0.034826, Val Triplet:0.491651
epoch: 26, Train MSE: 0.580366, Train CE:0.512600, Train MMD:0.019878, Train Triplet:0.497486, Val MSE:0.657316, Val CE:0.208541, Val MMD:0.035558, Val Triplet:0.467159
epoch: 27, Train MSE: 0.591131, Train CE:0.517824, Train MMD:0.020492, Train Triplet:0.465070, Val MSE:0.632604, Val CE:0.207988, Val MMD:0.038842, Val Triplet:0.490734
epoch: 28, Train MSE: 0.578754, Train CE:0.490133, Train MMD:0.021850, Train Triplet:0.348643, Val MSE:0.621769, Val CE:0.209512, Val MMD:0.038596, Val Triplet:0.233913
epoch: 29, Train MSE: 0.583009, Train CE:0.481673, Train MMD:0.023593, Train Triplet:0.373996, Val MSE:0.590263, Val CE:0.200684, Val MMD:0.048188, Val Triplet:0.000000
epoch: 30, Train MSE: 0.578106, Train CE:0.462471, Train MMD:0.029049, Train Triplet:0.173292, Val MSE:0.585470, Val CE:0.198169, Val MMD:0.056329, Val Triplet:0.000000
epoch: 31, Train MSE: 0.594847, Train CE:0.456686, Train MMD:0.032041, Train Triplet:0.036479, Val MSE:0.655059, Val CE:0.199393, Val MMD:0.058905, Val Triplet:0.000000
epoch: 32, Train MSE: 0.635028, Train CE:0.452596, Train MMD:0.033865, Train Triplet:0.003384, Val MSE:0.695338, Val CE:0.198784, Val MMD:0.057706, Val Triplet:0.000000
epoch: 33, Train MSE: 0.651993, Train CE:0.449655, Train MMD:0.033155, Train Triplet:0.000000, Val MSE:0.729520, Val CE:0.200713, Val MMD:0.055908, Val Triplet:0.201943
epoch: 34, Train MSE: 0.678983, Train CE:0.459328, Train MMD:0.033705, Train Triplet:0.446268, Val MSE:0.717490, Val CE:0.201411, Val MMD:0.062169, Val Triplet:0.464737
epoch: 35, Train MSE: 0.632866, Train CE:0.451965, Train MMD:0.037364, Train Triplet:0.262401, Val MSE:0.602316, Val CE:0.207067, Val MMD:0.072295, Val Triplet:0.455524
epoch: 36, Train MSE: 0.592091, Train CE:0.430392, Train MMD:0.041429, Train Triplet:0.546046, Val MSE:0.530343, Val CE:0.215533, Val MMD:0.080917, Val Triplet:0.489547
epoch: 37, Train MSE: 0.527017, Train CE:0.427325, Train MMD:0.047081, Train Triplet:0.000000, Val MSE:0.526219, Val CE:0.230238, Val MMD:0.086489, Val Triplet:0.454799
epoch: 38, Train MSE: 0.503958, Train CE:0.425040, Train MMD:0.051644, Train Triplet:0.000000, Val MSE:0.490556, Val CE:0.237687, Val MMD:0.095160, Val Triplet:0.446292
epoch: 39, Train MSE: 0.501072, Train CE:0.422679, Train MMD:0.053449, Train Triplet:0.000000, Val MSE:0.504551, Val CE:0.244774, Val MMD:0.096784, Val Triplet:0.548653
epoch: 40, Train MSE: 0.494297, Train CE:0.407129, Train MMD:0.054599, Train Triplet:0.158783, Val MSE:0.477424, Val CE:0.241941, Val MMD:0.106845, Val Triplet:0.456409
Learning rate updated: 0.00095
epoch: 41, Train MSE: 0.496445, Train CE:0.416851, Train MMD:0.060750, Train Triplet:0.702965, Val MSE:0.463643, Val CE:0.229373, Val MMD:0.115409, Val Triplet:0.493533
epoch: 42, Train MSE: 0.473358, Train CE:0.389301, Train MMD:0.064396, Train Triplet:0.000000, Val MSE:0.442701, Val CE:0.215510, Val MMD:0.119324, Val Triplet:0.467946
epoch: 43, Train MSE: 0.436546, Train CE:0.395098, Train MMD:0.067675, Train Triplet:0.000000, Val MSE:0.418050, Val CE:0.207092, Val MMD:0.123373, Val Triplet:0.461222
