No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([3, 4])
self.category_embeddings.weight.shape=torch.Size([3, 4])
epoch: 0, Train MSE: 2.161504, Train CE:1.416110, Train MMD:0.000747, Train Triplet:1.070308, Val MSE:1.845993, Val CE:1.311779, Val MMD:0.001406, Val Triplet:0.504392
epoch: 1, Train MSE: 1.618216, Train CE:1.303845, Train MMD:0.000758, Train Triplet:1.446168, Val MSE:1.356995, Val CE:1.145447, Val MMD:0.001437, Val Triplet:0.423330
epoch: 2, Train MSE: 1.212762, Train CE:1.184923, Train MMD:0.000772, Train Triplet:1.504441, Val MSE:1.119311, Val CE:0.989719, Val MMD:0.001469, Val Triplet:0.452183
epoch: 3, Train MSE: 1.011106, Train CE:1.102389, Train MMD:0.000820, Train Triplet:1.441247, Val MSE:0.934192, Val CE:0.846284, Val MMD:0.001532, Val Triplet:0.489068
epoch: 4, Train MSE: 0.889449, Train CE:1.023815, Train MMD:0.000873, Train Triplet:1.284981, Val MSE:0.880148, Val CE:0.768339, Val MMD:0.001662, Val Triplet:0.499452
epoch: 5, Train MSE: 0.826319, Train CE:0.966234, Train MMD:0.001011, Train Triplet:1.136845, Val MSE:0.848054, Val CE:0.662818, Val MMD:0.001865, Val Triplet:0.496041
epoch: 6, Train MSE: 0.819669, Train CE:0.926462, Train MMD:0.001217, Train Triplet:1.031123, Val MSE:0.835091, Val CE:0.600225, Val MMD:0.002090, Val Triplet:0.505276
epoch: 7, Train MSE: 0.809918, Train CE:0.905873, Train MMD:0.001456, Train Triplet:1.027048, Val MSE:0.875591, Val CE:0.571695, Val MMD:0.002544, Val Triplet:0.503402
epoch: 8, Train MSE: 0.817571, Train CE:0.881492, Train MMD:0.001735, Train Triplet:1.086691, Val MSE:0.850214, Val CE:0.540553, Val MMD:0.002941, Val Triplet:0.472419
epoch: 9, Train MSE: 0.821150, Train CE:0.853660, Train MMD:0.002085, Train Triplet:1.121980, Val MSE:0.839024, Val CE:0.511220, Val MMD:0.003695, Val Triplet:0.448970
epoch: 10, Train MSE: 0.791436, Train CE:0.849951, Train MMD:0.002595, Train Triplet:1.213780, Val MSE:0.825927, Val CE:0.501376, Val MMD:0.004430, Val Triplet:0.458074
epoch: 11, Train MSE: 0.751725, Train CE:0.867872, Train MMD:0.002958, Train Triplet:1.279260, Val MSE:0.789586, Val CE:0.498693, Val MMD:0.005174, Val Triplet:0.450228
