f1,f2,cond
13.313507,29.697687,0.0
40.779835,-51.28727,0.0
-34.0832,-19.292986,0.0
27.110369,-11.516789,0.0
-22.15936,-10.361283,0.0
-23.91829,-16.858772,0.0
17.047176,8.312111,0.0
-27.416641,-24.742933,0.0
36.0573,-49.315186,0.0
41.923576,-47.890472,0.0
-26.59874,-43.00956,0.0
41.136753,-49.866016,0.0
6.4568787,9.013963,0.0
49.012753,-46.974365,0.0
-18.474958,-18.65375,0.0
18.106722,9.38719,0.0
3.6179,17.735275,0.0
38.62087,-52.245068,0.0
-3.4221451,15.379173,0.0
-28.723145,-35.096275,0.0
-2.748618,5.5715914,0.0
4.9184194,11.987285,0.0
-28.207006,-30.569569,0.0
-29.175093,-24.783787,0.0
-29.630486,-33.043774,0.0
48.66275,-50.98139,0.0
8.855348,8.611963,0.0
-29.96419,-23.12642,0.0
46.53975,-51.194202,0.0
0.8793562,13.008857,0.0
16.667356,12.462926,0.0
18.007349,18.553331,0.0
-34.603172,-18.451616,0.0
23.756712,11.315893,0.0
39.324352,-53.368633,0.0
-13.488876,-19.609419,0.0
8.068018,8.127573,0.0
42.842472,-52.218506,0.0
-20.437551,-22.610716,0.0
-35.506207,-16.839386,0.0
10.827951,28.926115,0.0
-7.209426,17.647366,0.0
3.9003935,11.790097,0.0
42.135323,-50.912296,0.0
0.3983048,17.500053,0.0
-36.939423,-24.060917,0.0
10.487999,18.272346,0.0
14.03715,21.60411,0.0
18.153442,11.590472,0.0
37.646282,-56.008755,0.0
5.1642795,30.67423,0.0
-30.952679,-10.901489,0.0
2.4516015,-8.332383,0.0
8.169415,3.6967978,0.0
11.829321,20.740978,0.0
3.9818504,14.893275,0.0
6.2869105,17.408041,0.0
15.106539,15.18873,0.0
-24.707212,-22.170336,0.0
-27.491976,-23.320812,0.0
-32.417336,-30.731636,0.0
15.169983,18.643843,0.0
-23.750069,-11.763332,0.0
-28.092278,-23.538168,0.0
37.37529,-44.777973,0.0
37.21183,-49.175274,0.0
-31.125736,-19.149157,0.0
25.832968,11.662749,0.0
37.426884,-56.37301,0.0
42.103867,-49.16828,0.0
3.8966205,4.1478577,0.0
11.202201,10.793126,0.0
11.09065,9.993993,0.0
37.294575,-54.039803,0.0
7.5317492,19.149345,0.0
46.500347,-46.872166,0.0
12.941208,11.778968,0.0
6.469488,5.0571074,0.0
-24.132673,-14.442027,0.0
-22.896091,-27.26475,0.0
-22.357834,-4.091217,0.0
40.752,-46.77812,0.0
41.66468,-53.40244,0.0
-26.519783,-14.487951,0.0
9.76245,13.823446,0.0
-1.9632705,17.417124,0.0
19.73167,8.672945,0.0
10.072977,17.70575,0.0
-1.4975892,29.094315,0.0
-32.631596,-19.749933,0.0
39.64999,-54.204376,0.0
15.413997,21.3269,0.0
45.822933,-51.33706,0.0
37.562473,-50.294235,0.0
9.634314,9.027399,0.0
40.63291,-56.909893,0.0
37.62867,-53.39753,0.0
-8.049678,-26.957386,0.0
8.983469,17.64662,0.0
29.036354,-55.48669,0.0
41.43257,-47.2928,0.0
38.587936,-57.22194,0.0
-23.053879,-18.98876,0.0
35.35046,-33.051,0.0
4.3027353,5.4504876,0.0
-21.527287,-18.621092,0.0
43.62222,-46.50838,0.0
-26.286404,-21.182392,0.0
-36.05074,-23.081339,0.0
-37.978348,-12.888869,0.0
41.86895,-53.675236,0.0
0.16341396,1.9444932,0.0
-34.8162,-4.736403,0.0
41.28031,-49.399952,0.0
36.6761,-10.365707,0.0
-15.493556,-11.450834,0.0
8.123016,19.514002,0.0
-29.98689,-30.977367,0.0
3.5003958,14.087274,0.0
5.2305565,4.5775795,0.0
10.341228,3.2661736,0.0
-32.019848,-14.79105,0.0
33.820786,-12.12487,0.0
-15.890678,-46.133587,0.0
2.5972202,20.429306,0.0
38.50134,-50.33613,0.0
52.83964,-50.214413,0.0
36.64213,-39.171345,0.0
35.582954,-44.35719,0.0
40.405804,-51.25344,0.0
6.633698,7.281468,0.0
-29.373238,-11.315342,0.0
5.0207324,19.725737,0.0
39.61261,-48.98209,0.0
-30.599081,-18.560343,0.0
-1.4739192,-10.683352,0.0
7.576639,21.815731,0.0
3.0022833,-17.44329,0.0
42.580826,-49.678364,0.0
40.972713,-29.254225,0.0
-40.99805,-29.98755,0.0
-33.468292,-23.590769,0.0
16.864109,14.742533,0.0
14.453971,15.809458,0.0
-37.99733,-29.091347,0.0
41.50828,-50.30278,0.0
36.846424,-53.982174,0.0
33.36645,-47.064186,0.0
13.734339,-3.15054,0.0
40.648384,-31.358862,0.0
11.848862,13.711051,0.0
9.4960165,12.459905,0.0
-22.940872,-23.84908,0.0
-21.238176,-27.619915,0.0
-3.789311,-6.931499,0.0
44.91675,-53.92693,0.0
44.06385,-48.95418,0.0
-8.710387,-10.331457,0.0
36.70826,-49.726067,0.0
41.997562,-43.737392,0.0
-21.705282,-23.211397,0.0
-5.7616644,12.830462,0.0
-9.333912,-15.33508,0.0
-1.4806275,-5.0335884,0.0
34.216892,-50.13875,0.0
-35.042576,-19.023905,0.0
2.3053343,3.9674487,0.0
4.996587,8.168994,0.0
23.363483,22.38697,0.0
43.465794,-48.553997,0.0
-20.859335,-25.462866,0.0
43.75861,-44.920868,0.0
-37.463245,-6.172559,0.0
1.6694329,5.4902368,0.0
42.451935,-44.921238,0.0
23.43792,0.61832327,0.0
35.66081,-48.29863,0.0
37.277523,-49.91856,0.0
43.85658,-54.551502,0.0
41.475346,-46.1531,0.0
14.724176,16.31125,0.0
6.3019133,18.076664,0.0
-14.114426,19.39951,0.0
4.9910336,10.726542,0.0
-41.339985,-16.346111,0.0
-1.5179363,-28.975761,0.0
-8.34885,1.3572748,0.0
-45.861156,-10.151704,0.0
12.069483,2.815446,0.0
3.9852755,-5.9428034,0.0
-10.936145,-15.829387,0.0
8.99347,15.392139,0.0
-37.815914,-31.454872,0.0
-34.056404,-27.19126,0.0
-11.83856,-11.644488,0.0
-26.158352,-40.954433,0.0
8.683576,4.2042565,0.0
40.11861,-47.804756,0.0
21.691328,20.976429,0.0
-34.866646,-17.653713,0.0
41.64286,-49.971416,0.0
39.279198,-49.66528,0.0
29.074644,31.405426,0.0
-34.420048,-17.574358,0.0
27.860542,-49.957256,0.0
43.23548,-33.505302,0.0
41.026745,-47.86086,0.0
33.446518,-48.686195,0.0
24.791683,-3.28049,0.0
38.738487,-55.44735,0.0
-17.235863,20.458168,0.0
-32.73655,-25.98382,0.0
39.558247,-48.992104,0.0
45.298206,-52.732388,0.0
-2.8774168,-3.7569802,0.0
45.744038,-44.900864,0.0
-26.212666,-15.116577,0.0
9.940903,-8.423218,0.0
-22.483496,-20.663029,0.0
32.967033,-52.56991,0.0
36.67343,-49.116802,0.0
-30.18364,-25.044167,0.0
12.329512,7.966979,0.0
-29.052446,-28.780544,0.0
43.73124,-52.080685,0.0
-27.29164,-25.979225,0.0
-35.357845,-17.306427,0.0
18.693495,11.046916,0.0
-18.022076,-20.311903,0.0
-26.081839,-30.895144,0.0
1.6284438,8.645183,0.0
-3.4759946,-19.48309,0.0
21.606476,18.928173,0.0
-24.451784,-20.292868,0.0
41.068657,-46.886806,0.0
15.839449,9.539956,0.0
23.908552,30.513762,0.0
16.79839,-1.0752645,0.0
7.432694,0.44919556,0.0
8.029948,4.4287457,0.0
15.103135,17.764944,0.0
-25.75986,-28.840265,0.0
-33.283497,-19.032671,0.0
-33.798008,-14.560684,0.0
45.24201,-52.216576,0.0
38.41379,-52.250244,0.0
-22.414686,-18.223034,0.0
-20.584024,-25.31788,0.0
-1.4035809,18.32337,0.0
25.28734,17.014349,0.0
-27.707453,-23.920298,0.0
-20.9228,-6.4343057,0.0
-40.8558,-26.29247,0.0
-32.712357,-22.442554,0.0
33.569504,-52.05646,0.0
18.00969,12.05195,0.0
38.615864,-34.003387,0.0
-17.960854,-14.480502,0.0
36.976814,-47.864777,0.0
-27.22677,-26.998966,0.0
-28.326479,-9.963174,0.0
-15.77492,-26.788689,0.0
40.874146,-50.382046,0.0
38.580585,-49.534332,0.0
37.143143,-51.348637,0.0
43.1371,-50.17187,0.0
-14.253983,4.264762,0.0
-35.214973,-23.741543,0.0
39.26012,-61.296906,0.0
35.748264,-53.03376,0.0
33.202507,-49.221115,0.0
46.393814,-52.646103,0.0
13.439799,9.865453,0.0
-33.35309,-17.32349,0.0
7.5493655,15.253075,0.0
8.8239975,19.952944,0.0
-40.40825,-19.729082,0.0
3.9645455,18.865604,0.0
34.264782,-48.153053,0.0
-18.385496,-26.749996,0.0
6.08164,9.978799,0.0
42.801933,-52.224808,0.0
40.742245,-50.546116,0.0
-45.26997,-13.225421,0.0
-24.373564,-14.471362,0.0
9.32022,6.3220353,0.0
37.615425,-56.622707,0.0
-33.72382,-20.496355,0.0
40.28432,-54.087093,0.0
-42.62443,-0.034411024,0.0
44.390232,-52.08453,0.0
8.455566,14.652433,0.0
21.45041,31.082571,0.0
46.970634,-48.236526,0.0
38.06238,-55.508244,0.0
51.434174,-52.29709,0.0
-41.85444,-30.245277,0.0
-33.219967,-16.764202,0.0
45.462025,-49.386497,0.0
15.562092,18.48738,0.0
-36.3607,-18.417786,0.0
-35.68445,-20.78216,0.0
52.065178,-47.41329,0.0
-30.340834,-4.061263,0.0
-30.107836,-33.547928,0.0
-37.203606,-17.187767,0.0
38.664055,-48.707493,0.0
37.191406,-50.94369,0.0
-29.190159,-29.092297,0.0
-29.144972,-16.81398,0.0
-25.19904,-8.820752,0.0
14.695624,13.520398,0.0
-34.319313,-17.784986,0.0
20.021738,21.8913,0.0
-39.488243,-23.912344,0.0
-36.07204,-21.555288,0.0
-22.391249,2.8775303,0.0
-37.279427,-29.715706,0.0
7.6245375,6.8633475,0.0
-24.179188,-27.265123,0.0
-0.7894362,-8.810594,0.0
38.947174,-43.924717,0.0
26.97992,26.990755,0.0
10.204187,12.504668,0.0
2.1906252,6.12248,0.0
23.508892,22.050802,0.0
12.654348,14.037778,0.0
38.731693,-50.961006,0.0
-1.2788867,23.013536,0.0
35.966644,-47.388657,0.0
8.983661,15.19765,0.0
1.0078088,19.071041,0.0
43.913593,-43.276226,0.0
39.85718,-53.248604,0.0
-32.597862,-33.082714,0.0
2.939879,4.1168127,0.0
44.653717,-51.312923,0.0
23.247461,7.881281,0.0
-38.648834,-19.249758,0.0
37.930218,-58.53823,0.0
22.142899,9.487338,0.0
1.7978209,7.240141,0.0
9.018525,-4.0013924,0.0
-23.857426,-22.730278,0.0
46.021255,-53.917057,0.0
-33.230244,-24.904762,0.0
4.7664194,8.278925,0.0
28.70482,23.465624,0.0
34.18264,5.4542136,0.0
46.793396,-48.596317,0.0
-37.19674,-8.910072,0.0
-30.889893,-17.658726,0.0
-36.389854,-8.129615,0.0
9.279339,21.969976,0.0
22.157808,2.8701007,0.0
13.798178,-6.4687634,0.0
-14.176944,-17.4375,0.0
-15.993258,-13.647263,0.0
15.44525,26.164953,0.0
-28.444597,-14.957219,0.0
-33.50875,-23.440664,0.0
-33.508545,-20.327032,0.0
37.504066,-54.304153,0.0
-18.202322,-7.7076902,0.0
-38.416245,-19.887129,0.0
3.5708842,15.77163,0.0
-42.993633,-15.93342,0.0
-26.636202,-20.048746,0.0
6.4835005,-2.7595031,0.0
-35.497204,-11.604106,0.0
41.388897,-50.403633,0.0
39.684074,-52.476715,0.0
8.84097,17.455524,0.0
39.263126,-49.27341,0.0
36.773167,-46.392506,0.0
40.40197,-50.535744,0.0
34.168396,-47.35887,0.0
38.317913,-46.355,0.0
37.154163,-45.28322,0.0
41.35588,-38.89687,0.0
-17.871414,-18.00976,0.0
-36.25009,-25.866026,0.0
-3.7944944,-23.854883,0.0
44.028664,-50.755,0.0
17.264072,-0.8402811,0.0
6.5328264,15.087583,0.0
40.90918,-47.285732,0.0
39.913773,-53.8641,0.0
-32.697704,-23.144817,0.0
-36.63232,-44.296253,0.0
41.10339,-38.616264,0.0
4.484399,14.858211,0.0
-34.413296,-30.393803,0.0
35.46392,-52.465,0.0
27.421,2.2353115,0.0
41.657818,-53.943268,0.0
-30.924294,-24.66971,0.0
41.187996,-46.380497,0.0
44.526646,-46.254955,0.0
14.854081,2.541445,0.0
15.155136,-2.9670637,0.0
-31.495098,-22.739752,0.0
-35.039036,-4.5242424,0.0
-27.328108,-9.719767,0.0
25.835896,7.181384,0.0
29.436697,23.701447,0.0
37.68886,-52.253853,0.0
17.992554,9.875747,0.0
-5.490223,16.875685,0.0
38.0474,-54.634144,0.0
17.420397,10.83834,0.0
-22.740639,-12.340224,0.0
38.782356,-53.430466,0.0
-32.952618,-20.102468,0.0
43.072865,-46.299465,0.0
43.703438,-54.358532,0.0
-25.04166,-16.865473,0.0
-21.1232,-29.571035,0.0
-30.629723,-10.76164,0.0
-33.170395,-28.571255,0.0
-29.993753,-15.58623,0.0
44.06432,-55.700268,0.0
4.7818193,-1.2618399,0.0
-38.692593,-19.79229,0.0
39.69382,-49.13715,0.0
35.924534,-45.17396,0.0
30.971968,23.97656,0.0
42.228817,-54.409378,0.0
-36.270187,-8.969315,0.0
2.3931408,4.741629,0.0
16.755411,20.594889,0.0
42.473137,-53.7319,0.0
-34.416782,-9.627788,0.0
14.852806,15.177147,0.0
-35.96224,-46.381733,0.0
6.687854,15.552605,0.0
-39.2911,-13.877748,0.0
40.460415,-48.759335,0.0
1.2609935,17.662966,0.0
-10.527821,5.6450405,0.0
13.050858,19.291988,0.0
40.959133,-54.497437,0.0
34.23795,-47.91383,0.0
6.742259,6.2050524,0.0
-33.890274,-19.920418,0.0
42.62877,-51.68209,0.0
22.169603,-9.453387,0.0
-29.894112,-23.354156,0.0
43.55347,-49.843636,0.0
39.64004,-45.788403,0.0
37.747658,-51.52364,0.0
49.460987,-49.88446,0.0
40.40838,-57.81564,0.0
9.22384,16.214989,0.0
-23.575882,-16.8246,0.0
43.19707,-44.4901,0.0
45.071106,-41.061775,0.0
0.3951113,-20.273235,0.0
38.652924,-50.18743,0.0
-25.998934,-8.297687,0.0
14.600026,11.160572,0.0
-27.39427,-14.797123,0.0
8.412919,3.6326368,0.0
-38.826996,-21.354523,0.0
-39.006344,-19.726646,0.0
-33.358562,-10.948871,0.0
-31.318533,-18.050688,0.0
5.1595383,-1.0617214,0.0
26.639082,23.108807,0.0
31.78023,-46.600616,0.0
39.51168,-44.464546,0.0
-52.053852,-10.879075,0.0
47.873707,-49.645317,0.0
42.14284,-51.51863,0.0
7.0095086,6.3110323,0.0
-26.924355,-20.159723,0.0
-22.71284,-22.447643,0.0
40.38238,-47.02739,0.0
-33.496647,-25.362118,0.0
38.315125,-45.288338,0.0
-21.425522,-23.59144,0.0
0.54584146,-5.725317,0.0
13.112,1.6980722,0.0
28.579672,7.7897706,0.0
-36.026512,-13.699412,0.0
8.010637,-6.6501546,0.0
43.34463,-48.541542,0.0
-25.025322,-15.324478,0.0
25.677536,18.590212,0.0
35.219154,-50.523853,0.0
45.066616,-47.844563,0.0
-31.964552,-25.89859,0.0
-2.8096955,19.361237,0.0
-38.27515,0.21769911,0.0
-39.682907,-12.922578,0.0
-37.554623,-20.490427,0.0
35.556072,-47.47835,0.0
-22.55034,-23.92395,0.0
1.9856616,19.816845,0.0
-24.451622,-41.290157,0.0
16.403845,-7.6695995,0.0
-0.11961789,-14.163503,0.0
-34.493664,-13.764188,0.0
32.777966,-54.46512,0.0
-6.880084,-13.424208,0.0
12.581857,3.8375494,0.0
14.850368,27.57223,0.0
43.529823,-55.047626,0.0
37.222294,-52.795322,0.0
-33.467865,-12.526127,0.0
10.367449,3.2797704,0.0
-30.86945,-23.726252,0.0
31.199253,-48.676846,0.0
-5.562188,-24.381851,0.0
37.82336,-49.594814,0.0
